,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asin,image,overall,reviewText,reviewTextClean,reviewTime,reviewerID,reviewerName,style,summary,unixReviewTime,verified,vote,sentiment
1198,5964,88777,88777,B0014II9F0,,4.0,"These NC earbuds have no hiss and have high fidelity that is competitive with my old Sennheisers. Noise cancellation depends on a good ear seal. The noise cancellation is not as complete as you can get with over-ear headphones, but it is still good and the convenience of earbuds is highly desired. In the lower price range many NC headphone designs are a compromise between noise cancellation and audio fidelity. But there is no point in buying headphones with poor audio. With the HC55 the price is right, the highs are bright and the lows are well defined.

To adjust the earbuds I put them on without an audio source and listen to refrigerator noise. When you get a close fit it is obvious the noise cancellation is highest. Then I plug in an audio source and get the realism I enjoy. Battery life seems almost infinitely long.

Someone should make a comparison with the Audio Technica ATH-ANC23 at about the same price.",nc earbuds hiss high fidelity competitive old sennheisers noise cancellation depends good ear seal noise cancellation complete get ear headphone still good convenience earbuds highly desired lower price range many nc headphone design compromise noise cancellation audio fidelity point buying headphone poor audio hc price right high bright low well defined adjust earbuds put without audio source listen refrigerator noise get close fit obvious noise cancellation highest plug audio source get realism enjoy battery life seems almost infinitely long someone make comparison audio technica ath anc price,"08 5, 2013",AI7OMR4XYU7E1,Enthusiast,{'Product Packaging:': ' Standard Packaging'},Great High Fidelity,1375660800,True,,1
451,6420,166208,166208,B005FVNGS2,,3.0,"Good for a low cost MP3.  I use with a 32GB microSDHC card and it does take a long time (~30 minutes) to synchronize the music from the card when you add new music,  It is a hassle but anything else with close to the capacity is MUCH more money",good low cost mp use gb microsdhc card take long time minute synchronize music card add new music hassle anything else close capacity much money,"04 1, 2014",A3H5KTMDD89TVB,RH,"{'Color:': ' Grey', 'Capacity:': ' 8GB', 'Package Type:': ' Standard Packaging'}",not bad,1396310400,True,,0
2244,8012,54781,54781,B000YO8H5C,,3.0,"Some problems. Good sound and great features if they would all work properly. Subwoofer does not stay on if the volume goes down too low for too long, but the power button on the subwoofer is still on. The Anynet with my LN40A750 Series TV does not work all the time, have to go through the setup more times than one should have too, if the power on either unit is turned off for very long. If you have a Samsung TV and this reciever you will need an Optical cable to make the Anynet work. Check out Samsung's website for more details, there is a helpful ""How To"" section. Debating on sending it back, mainly due to the subwoofer going on and off for no apparent reason. All it all it has great sound and full HD pass through, so it's a good unit with some glitches. If anyone has any fixes for my problems, please let me and other know.",problem good sound great feature would work properly subwoofer stay volume go low long power button subwoofer still anynet ln series tv work time go setup time one power either unit turned long samsung tv reciever need optical cable make anynet work check samsung website detail helpful section debating sending back mainly due subwoofer going apparent reason great sound full hd pas good unit glitch anyone fix problem please let know,"01 13, 2009",A17PB36A3TF6IL,JJ,,Semi Disappointed,1231804800,False,,0
2527,823,19825,19825,B0000U19F0,,4.0,"Yeah, they're not Bose, but they're also 1/6th of the cost.  However, if you're not a daily  flier, and want to cut out the worst of the noise on an airplane, these headphones certainly do the job.

A marked differential of tone in the left and right channels is a minor annoyance (noted in a previously submitted rating).  The unpadded headband is also somewhat uncomfortable, but is offset by their compact size when you fold them up for storage.

I wear them for 9 to 10 hours on trans-Atlantic flights once a month (and an ocassional domestic flight) and love the convenience of the retractable cord. They are able to cancel out the worst of the engine noise and general whirs and buzzes of any aircraft.  The sound quality and fit comfort are a sight better than the junk that the airlines provide.

If you want the best, buy the best (Bose).  If you want the best value, good performance, and top convenience, buy the JVC from Amazon.",yeah bose also th cost however daily flier want cut worst noise airplane headphone certainly job marked differential tone left right channel minor annoyance noted previously submitted rating unpadded headband also somewhat uncomfortable offset compact size fold storage wear hour trans atlantic flight month ocassional domestic flight love convenience retractable cord able cancel worst engine noise general whir buzz aircraft sound quality fit comfort sight better junk airline provide want best buy best bose want best value good performance top convenience buy jvc amazon,"04 3, 2005",A3G2OBB9IAAS0K,B.C.,{'Product Packaging:': ' Standard Packaging'},Consider the cost,1112486400,True,2,1
245,2484,168240,168240,B005HMKKH4,,3.0,"Bought 2 one died, Guess it happens on these or any drive that you get. When you buy this make sure you get the additional warranty on these. I didn't and now I'm out 80 bucks.",bought one died guess happens drive get buy make sure get additional warranty buck,"11 26, 2013",A3VEFQ25OSXMOQ,Bill,"{'Color:': ' Blue', 'Capacity:': ' 2 TB'}",Buy the exteneded warrenty on these. Just saying.,1385424000,True,,0
1595,9872,323813,323813,B009F7TXMK,,2.0,"Almost 8 months after receiving this I am having problems. I don't use it much obviously, but it isn't recognized by my Dell laptop when I plug it in. I have changed the USB cable but no change. Sometimes if I put the ""wiggle test"" to it is show up for just a second then disappears.. I was able to use it earlier but sometimes had to jiggle the cable so I didn't think too much about it at the time. Now I need it and no go. It is a great idea and looks good but, alas, is a disappointment.",almost month receiving problem use much obviously recognized dell laptop plug changed usb cable change sometimes put wiggle test show second disappears able use earlier sometimes jiggle cable think much time need go great idea look good ala disappointment,"07 3, 2014",A1PF32NLM045FI,iRod,,It is a great idea and looks good but,1404345600,True,,0
1050,4275,75510,75510,B000VZCEUI,,4.0,"It works, and it holds a lot of data.  It is quite large though.",work hold lot data quite large though,"10 23, 2009",AZDAE5FL4JEVR,Pickle,,Stylish and easy to use,1256256000,True,,1
1389,6672,629046,629046,B016P6SEO6,,4.0,Very hopeful for beginners,hopeful beginner,"09 11, 2017",A1ZH4B20M683XZ,Wilkins Brito,,Four Stars,1505088000,True,,1
2086,7378,442840,442840,B00HVE1IF4,,4.0,"I ordered this protector since the aftermarket screen replacement was just not as smooth as the OEM screen.  This protector adds that smoothness back to my phone, while also making me worry less about scratches.

The only issue I have is that the edges just don't stick, but since it's staying in place otherwise, it's still functional.

I also have a 'Diztronic Matte Back Black Flexible TPU Case for LG G2 (Verizon Only - Model VS980) - Retail Packaging' case, which doesn't touch the protector.

Installation was easy, but there were a few bubbles that looked really odd (mostly concerned about contamination).  However, they weren't noticeable when the screen was on, and it looks like they have disappeared now.  I do recommend you use gloves (or even a ziplock back turned inside out) as you just don't want those permanent fingerprints.",ordered protector since aftermarket screen replacement smooth oem screen protector add smoothness back phone also making worry le scratch issue edge stick since staying place otherwise still functional also diztronic matte back black flexible tpu case lg g verizon model v retail packaging case touch protector installation easy bubble looked really odd mostly concerned contamination however noticeable screen look like disappeared recommend use glove even ziplock back turned inside want permanent fingerprint,"12 30, 2014",A1P33PDIUS9FZI,Mr. G,{'Color:': ' LG G2'},"Compatible with Diztronic TPU case, edges don't seem to hold, but does the job",1419897600,True,,1
1195,8440,105415,105415,B0011TS8LM,,5.0,great sound,great sound,"06 12, 2015",A20PNBJP4J9FXK,John Li,"{'Color:': ' Black', 'Product Packaging:': ' Standard Packaging', 'Style:': ' Earphones'}",Five Stars,1434067200,True,,1
1083,6335,140698,140698,B001PBYQHG,,5.0,Product as described.,product described,"07 3, 2016",A1BKCW17GPLI4E,Brian E,{'Style:': ' Bravo'},Five Stars,1467504000,True,,1
2091,7683,394544,394544,B00E174RTS,,5.0,Works great and lets me use a Bluetooth headset with my iPod Shuffle.,work great let use bluetooth headset ipod shuffle,"06 17, 2016",AXWUO2OB3NRIF,Jordan,,Five Stars,1466121600,True,,1
177,8516,542829,542829,B00RFLGH5E,,5.0,"Easy installation and set up with a 7 year old LG HD TV. Picture quality is fine. We are ~45 miles away from the signal sources and this one pulled in all I was expecting to see, based on information I found about channels in our area. Only one major station is struggling and it could very well be their signal and not the device as it is the only station signal that dropped when the rains hit southern California this week. Interesting enough, that station is also the only major station offering it's own subscription service and that seams to be left out of the major streaming packages unless you pay extra. Hmmm....

We'll test it during the playoffs today and see how it does!

I'd definitely order another if I needed another.",easy installation set year old lg hd tv picture quality fine mile away signal source one pulled expecting see based information found channel area one major station struggling could well signal device station signal dropped rain hit southern california week interesting enough station also major station offering subscription service seam left major streaming package unless pay extra hmmm test playoff today see definitely order another needed another,"01 22, 2017",A1Z9XQ2NIP0DFF,WarEeyore,{'Style Name:': ' 50 Mile'},Inexpensive antena for ~45 mile towers. Working well,1485043200,True,3,1
1632,9402,175436,175436,B0039825LW,,5.0,"this keeps my gpu cool and circulates air flow in my case great.  super easy install, cant get easier than this.",keep gpu cool circulates air flow case great super easy install cant get easier,"10 18, 2013",A2UELJ0I8UTG15,NIK ALMIRAKIS,{'Size:': ' 140mm'},love it,1382054400,True,,1
1573,7418,278867,278867,B006ZS5ATM,,4.0,working well! like it!,working well like,"01 16, 2015",A1TWWTNPJN37M1,Thalia,,like it!,1421366400,True,,1
1665,3134,44758,44758,B000EHUR3O,,5.0,Not sure why others have a problem with this mouse. It was easy to install and easy to use. Works great. Love the magnifier button.,sure others problem mouse easy install easy use work great love magnifier button,"03 16, 2009",A3CJTRKTVC6ND5,Lynne A. Ross,,Great Mouse-easy to set up & use,1237161600,True,3,1
1754,7960,196591,196591,B0044TNPJQ,,5.0,"Sturdy and fits excellent, I like this horizontal design which allows me more depth of the speedlight into the light modifier. I also use it with RF switches and all fits.",sturdy fit excellent like horizontal design allows depth speedlight light modifier also use rf switch fit,"09 5, 2014",A1QZU0HYRJZLYF,Charlie,{'Style:': ' T Speedlight Bracket'},Sturdy,1409875200,True,,1
906,3518,732536,732536,B00E6PC972,,5.0,"It's a little bit bigger than I expected, but still, does the job perfectly!",little bit bigger expected still job perfectly,"06 26, 2015",A2I6QM8E0PV53D,Oleg,,Five Stars,1435276800,True,,1
383,6962,158329,158329,B002CTV060,,5.0,"i just mounted a Sharp 70"" Q+ flat screen and found this mount to be of excellent quality as well as function. The built in level gets you on the right track and the ability to easily rotate the screen after a few degrees right or left allows for perfect alignment.
It also gives you the flexibility of sliding the TV left or right a few inches to adjust centering and location. This mount is very strong with no play. The movement of articulation is very smooth and easily done. Almost feels as though they used ball bearings in the hinges but I doubt that.
After reading others reviews I decided not to chance using the lag bolts that come included and so I bought my own at Lowes.
The instructions advise to use a 5/32 drill bit for the pilot holes but that would be way too tight. After researching proper pilot hole sizes for a 5/16"" bolt I went with a 7/32"" pilot and this proves to be perfect. Very snug to the point I had to use a wrench to tighten all the way but not too tight where I was worried about the bolt snapping.
Great price for a well designed and quality mount.
TV is very stable and easily rotated and pulled away from the wall when I need it.
Make sure you hit two studs when mounting a very large and heavy screen",mounted sharp q flat screen found mount excellent quality well function built level get right track ability easily rotate screen degree right left allows perfect alignment also give flexibility sliding tv left right inch adjust centering location mount strong play movement articulation smooth easily done almost feel though used ball bearing hinge doubt reading others review decided chance using lag bolt come included bought lowes instruction advise use drill bit pilot hole would way tight researching proper pilot hole size bolt went pilot prof perfect snug point use wrench tighten way tight worried bolt snapping great price well designed quality mount tv stable easily rotated pulled away wall need make sure hit two stud mounting large heavy screen,"04 5, 2015",AI0F4NA1A2WD3,GaryH,{'Size:': ' 40-Inch to 70-Inch'},Excellent mount for large flat screen TV,1428192000,True,,1
2123,8580,48709,48709,B000FK9WAE,,5.0,I read all the reviews here and concur with all the rave reviews.  The only problem I see and it's not unique to Hitachi is that Closed Captioning does not work in HD modes.,read review concur rave review problem see unique hitachi closed captioning work hd mode,"03 10, 2007",A2SUPG5GOZAIAJ,Bob,,Excellent,1173484800,True,,1
840,8929,688228,688228,B0007QQJX4,,5.0,Worked great.  I will purchase more of these.,worked great purchase,"11 29, 2015",AD37LZPI9CD4R,J.K.,,Worked great. I will purchase more of these,1448755200,True,,1
694,9725,610452,610452,B013RUXJES,,5.0,Works just fine,work fine,"12 12, 2016",A351L5H7YVF2OZ,John Santana,,Five Stars,1481500800,True,,1
2645,296,204930,204930,B004E5J61G,,5.0,"This adapter works perfectly with my 3GS iPhone in a 2008 BMW 335i.  It was only $21, or about $79 cheaper than the ""official"" BMW version.  No complaints here.",adapter work perfectly g iphone bmw cheaper official bmw version complaint,"02 29, 2012",A2BEUN75TVFAXQ,H. ROBERTS,,Save Some $$$,1330473600,True,,1
924,4337,425279,425279,B019D00NTU,,3.0,It holds cables... And it does a decent job.. Nuff said.,hold cable decent job nuff said,"04 4, 2017",A232ZCXMHF6WJO,Thomas W,{'Size:': ' 30 inch 3-pack'},Holds Cables.,1491264000,True,,0
2633,5595,430849,430849,B00GSLGMO8,,4.0,"haven't used this one got it as Christmas gift, but Nikon version work well  not the best qualityso if I stick with macro I will check out  better quality. My partner I  travel with has a 90 dollar one. its a little heaver but says his works as well', he was concerned about the mounts on his lenses",used one got christmas gift nikon version work well best qualityso stick macro check better quality partner travel dollar one little heaver say work well concerned mount lens,"10 20, 2016",A31F7GYI7S4LAN,Ronnie Martin,{'Color:': ' Silver'},but Nikon version work well not the best qualityso if I stick with macro I will check ...,1476921600,True,,1
982,7559,615408,615408,B014KUCNF0,,5.0,No problems.,problem,"08 1, 2016",A3KC94JHQAXUOK,Steve,,Five Stars,1470009600,True,,1
1527,318,640616,640616,B018WMG5X8,,5.0,Wow Can't beat the sound for the low price! Also the bluetooth reached over 30ft,wow beat sound low price also bluetooth reached ft,"09 18, 2016",A3R1YSO9PTCSBE,Black Fly Customer Care Team,{'Color:': ' Blue'},Very Good deal!,1474156800,True,,1
2435,4569,243275,243275,B005DSPLDA,,5.0,This is the second one I purchased .  I use the other one for my work computer.  This product works exactly as advertised and arrived on time.,second one purchased use one work computer product work exactly advertised arrived time,"11 24, 2016",A27SXKWB4B147P,ddw,{'Color:': ' Plane Black'},great mouse!,1479945600,True,,1
2534,8931,639751,639751,B018PU87TM,,5.0,Works perfect for holding my papers at work,work perfect holding paper work,"02 8, 2017",AAC2BU2V9X95K,me,{'Color:': ' purple'},Five Stars,1486512000,True,,1
1857,5160,65148,65148,B000P1KSHO,,5.0,Good product and fast service,good product fast service,"02 8, 2017",A18R1DHNQCAA3J,Pedro Trevio,{'Format:': ' Accessory'},Five Stars,1486512000,True,,1
368,6945,212635,212635,B004MF11MU,,5.0,The keyboard has a nice tactile feel to it. It is very light and no more batteries. Three more words required. Done.,keyboard nice tactile feel light battery three word required done,"10 9, 2013",AV0WTQ028HFGZ,C. Davila,{'Package Type:': ' Standard Packaging'},Very nice wireless keyboard,1381276800,True,,1
899,4347,509108,509108,B00N6V92SQ,,5.0,"Gave to my mom, who can't stop talking about how wonderful it is! She loves not only listening to music with it, but also answering phone calls while in the shower--who knew that would be such a boon!",gave mom stop talking wonderful love listening music also answering phone call shower knew would boon,"01 29, 2015",A26RDH3MMLKSZB,Joe Mama,{'Color:': ' Blue'},Well-loved!,1422489600,True,2,1
830,3161,627704,627704,B016HL4CAY,,1.0,I plugged this adapter into my laptop and it shuts it off. I did it twice and turned off twice. Don't they quality check them prior to shipment? What a piece of junk! DO NOT BUY.,plugged adapter laptop shuts twice turned twice quality check prior shipment piece junk buy,"02 23, 2016",A3F2HIZ5UJCBNR,Edward,{'Color:': ' black'},Shuts off computer when plugged in!,1456185600,True,3,0
235,10044,137263,137263,B001M5V0YC,,5.0,"I own three of these enclosures and run 1.5 TB Seagate drives in them.  They are extremely fast and quiet.  I cool them externally with some large, laptop cooling pad devices to be on the safe side (since they don't have their own fans).  Not as easy as simple file sharing in setup but it's SO much more secure and so much faster.

Separately it's nice that the enclosure has eSATA and USB for local mass file transfers or an emergency need to connect locally.  Very happy with these enclosure and their performance.",three enclosure run tb seagate drive extremely fast quiet cool externally large laptop cooling pad device safe side since fan easy simple file sharing setup much secure much faster separately nice enclosure esata usb local mass file transfer emergency need connect locally happy enclosure performance,"07 4, 2010",A2WWJ6YDCP27GI,trjk,,"Versatile connectivity, secure and FAST...",1278201600,True,,1
1174,7828,548063,548063,B00SB4B330,['https://images-na.ssl-images-amazon.com/images/I/412HvTmNVDL._SY88.jpg'],2.0,"Lenovo, if I wanted a Wifi only laptop, I would have ordered one.

The wired Ethernet port on this laptop is a joke - instead of just a normal tried and true RJ45 port, some first year design student at Lenovo decided to ""improve it"" by removing the STANDARD Ethernet port and adding some collapsing draw-bridge type monstrosity that twice now has required me cutting the patch cable out of the port in order not to break the laptop.

See the attached picture to see what I mean.  The bottom part opens down to allow the RJ45 Plug to enter and latch, where it will remain for all eternity until you either break the flip down door completely off, or use a pair of electricians pliers to crush the RJ45 plug allowing the pieces to fall out.  This is the worse design on a laptop I've seen in years.

I finally ordered a USB3-Ethernet adapter (and took the speed hit) so that I could plug in and remove the patch cord like normal people.

The rest of the laptop is very nice, unfortunately, all of the good things doesn't make up for the one extremely bad thing.  If I had known, I would have never bought this unit.

TL;DR - if you need a wired Ethernet cable, avoid this laptop at any price.",lenovo wanted wifi laptop would ordered one wired ethernet port laptop joke instead normal tried true rj port first year design student lenovo decided improve removing standard ethernet port adding collapsing draw bridge type monstrosity twice required cutting patch cable port order break laptop see attached picture see mean bottom part open allow rj plug enter latch remain eternity either break flip door completely use pair electrician plier crush rj plug allowing piece fall worse design laptop seen year finally ordered usb ethernet adapter took speed hit could plug remove patch cord like normal people rest laptop nice unfortunately good thing make one extremely bad thing known would never bought unit tl dr need wired ethernet cable avoid laptop price,"02 29, 2016",A1EUKK0H16KQV1,MLib,"{'Capacity:': ' 1 TB HDD/8 GB RAM', 'Style:': ' Windows 10'}",Avoid if you need a wired Ethernet connection,1456704000,True,16,0
843,10091,115290,115290,B0016897GS,,5.0,Cable works and is very long.  I used this to wire a desktop direct to the router that is in another room. Works well,cable work long used wire desktop direct router another room work well,"03 23, 2015",A4RA7TM6OY961,Matt,"{'Size:': ' 50 Feet', 'Style:': ' Single pack'}",Cable works and is very long. I used this ...,1427068800,True,,1
19,4444,180990,180990,B003JOCR14,,5.0,"Great, thanks!",great thanks,"03 2, 2016",A1V1LZL7T73WCT,So Cal Woman,,Five Stars,1456876800,True,,1
1459,4958,578278,578278,B00WW8868Q,,4.0,I have paired a lot of Bluetooth devices. This one didn't seem to pair as well. Once it did it has worked great and has a long battery life.,paired lot bluetooth device one seem pair well worked great long battery life,"03 14, 2017",A3TEMHJNHJ3A5D,TexasAV8R,,Once it did it has worked great and has a long battery life,1489449600,True,,1
2830,1000,376525,376525,B00CTFMD1S,,4.0,"This Pinzon body pillow has the same firmness as their Firm Density pillow. Even though, I prefer the Pinzon Medium density pillow; I understand that a firmer density is required for proper support for a body pillow.

I bought this pillow because my Sciatica flared up very badly recently and I read that if I could keep my hips even than my spine would be aligned while I was sleeping.

Sleeping with this pillow stopped my pain in bed immediately and within a few days the pain was gone in my other activities including standing, sitting and walking.

So glad that I bought this instead of those memory foam knee pillows that make your knees hot.

The only real gripe, I have is that the included pillow case is a very tight case which makes the pillow even firmer. But the pillowcase is very smooth, soft and cool never hot.

Like all other Pinzon products, this body pillow is top quality.",pinzon body pillow firmness firm density pillow even though prefer pinzon medium density pillow understand firmer density required proper support body pillow bought pillow sciatica flared badly recently read could keep hip even spine would aligned sleeping sleeping pillow stopped pain bed immediately within day pain gone activity including standing sitting walking glad bought instead memory foam knee pillow make knee hot real gripe included pillow case tight case make pillow even firmer pillowcase smooth soft cool never hot like pinzon product body pillow top quality,"11 12, 2017",A1VOIQ29Q1EO1V,chinagirl,,Has Helped My Sciatica,1510444800,True,,1
2374,9322,527937,527937,B00P7EVST6,,5.0,VERY easy setup and the picture is crystal clear. Unbelievable range with my Apple Airport Extreme setup at home.,easy setup picture crystal clear unbelievable range apple airport extreme setup home,"01 8, 2015",A25KTM7FXBM8I2,MacFan,{'Configuration:': ' 2 Camera Kit'},Five Stars,1420675200,True,7,1
1069,324,491062,491062,B00LM4ON0Q,,5.0,"This little cable is absolutely PERFECT, just what I was looking for.  Couldn't find one in a local store, and I looked.  A lot.  Finally decided to check amazon, and wasn't disappointed.  Good quality, as depicted, decently but minimally packaged.  If you need a short M/F extension, this is the one.",little cable absolutely perfect looking find one local store looked lot finally decided check amazon disappointed good quality depicted decently minimally packaged need short f extension one,"06 6, 2015",A3JVE5QDNSHWCP,Clarissa Stuart,{'Size:': ' 1.5ft'},Perfect.,1433548800,True,,1
2581,9058,329304,329304,B009U7WZCA,,5.0,Good product,good product,"05 4, 2016",A19FX0BENMXMQV,mostafa Omar,,Five Stars,1462320000,True,,1
2698,2843,671639,671639,B01EY0GN6Q,,5.0,"Got them connected to my Fitbit Ionic and sounds good to me...... wife may get a pair also.
Also connected to the iPad  and iPhone..... easy peasy.....",got connected fitbit ionic sound good wife may get pair also also connected ipad iphone easy peasy,"03 24, 2018",A1M8L2QA0NNEWY,R. lenahan,{'Color:': ' BLACK'},Great and super price....,1521849600,True,,1
613,2609,291928,291928,B007JGB6TW,,4.0,"I had this material applied to my new iPhone 5 when I purchased it. It was a bit pricey to purchase and install but I figured, ""what the-hey"", if I'm investing that much into a phone, why not go the extra mile and protect my investment! As it turns out, I made a wise choice. This is a great product that achieves it's purpose, as advertised; so, when I purchased an iPad and found out what it would cost to have this material applied, I decided to do it myself. I'll make this short - if you are handy at crafty projects, do it yourself, if you are not, pay someone to do it! As it turns out, I am not!",material applied new iphone purchased bit pricey purchase install figured hey investing much phone go extra mile protect investment turn made wise choice great product achieves purpose advertised purchased ipad found would cost material applied decided make short handy crafty project pay someone turn,"03 22, 2013",A30HNFQRBC59PK,Mario R. Ortega,"{'Package Type:': ' Standard Packaging', 'Style:': ' Original - Screen'}",A nice utility...,1363910400,True,,1
814,4179,610629,610629,B013SZIM6W,,4.0,"EDIT: OMOTON reached out to me about my order. Their customer service is wonderful, and responded promptly. Although the protector hindered my ability to use the surface, they helped get everything settled out. I would purchase from them confidently, even if you're questionable.

The screen protector went on fairly easy, I only ended up trapping the smallest hair underneath the screen. My complaint however is in how thick the screen protector is. I found myself having to press way too hard to get a response, and the pen pressure sensitivity became awful. I found it really hard to use my surface, so I am unhappy with the product. Build quality and packaging was great, but couldn't get past the fact that it reduced usability.",edit omoton reached order customer service wonderful responded promptly although protector hindered ability use surface helped get everything settled would purchase confidently even questionable screen protector went fairly easy ended trapping smallest hair underneath screen complaint however thick screen protector found press way hard get response pen pressure sensitivity became awful found really hard use surface unhappy product build quality packaging great get past fact reduced usability,"04 2, 2017",A150KA7QMAV9BT,Zachary R.,,EDIT: Excellent Customer Service / High Quality Product,1491091200,True,,1
1781,7519,300435,300435,B00834SJNA,,1.0,"Bought two, got a couple months out of warranty and one drive died (unrecoverable SMART errors).  A couple months later the other one died.  Maxtor must have bought Seagate.",bought two got couple month warranty one drive died unrecoverable smart error couple month later one died maxtor must bought seagate,"09 22, 2015",A3W34TUQJD6GQF,B&amp;C Fugett,{'Size:': ' 3 TB'},Died just out of warranty,1442880000,True,,0
1545,6372,412803,412803,B00F8GPMJU,,5.0,"Its so fun.  My husband loved it.  I gave it to him as a stocking stuffer.  Unfortunately, when we were traveling it was confiscated by TSA because it resembled a weapon, its only like 3 inches long.  It made it through Chicago Midway without a problem, but not West Palm Beach.  He was able to keep the drive part, but had to ""surrender"" the gun-holder part.  If you're going to travel with it check it.",fun husband loved gave stocking stuffer unfortunately traveling confiscated tsa resembled weapon like inch long made chicago midway without problem west palm beach able keep drive part surrender gun holder part going travel check,"05 12, 2014",A2RGWXNUWPDTKI,Meaghan0010,{'Capacity:': ' 16GB'},Fun,1399852800,True,,1
666,154,372517,372517,B00CLCMA4O,,5.0,"Nice, thanks. .",nice thanks,"03 7, 2015",A3ISY9VQXQ9D9B,Dirceu S.,"{'Color:': ' Orange', 'Product Packaging:': ' Standard Packaging', 'Style:': ' With microphone'}",Five Stars,1425686400,True,,1
67,3187,498321,498321,B00M7E3OZA,,5.0,I am enjoying my iPad Air now even more then ever. The clampcase Pro is just so versatile and beautiful. Thank you for this wonderful gift!,enjoying ipad air even ever clampcase pro versatile beautiful thank wonderful gift,"01 7, 2015",A2H7317L9MQLRH,Albert Teixeira,,iPad turns to laptop!,1420588800,True,,1
1605,6010,127936,127936,B001E2KAOO,,4.0,"Recieves all channels in the area perfectly, and keeps them even in low signal. Very small and convenient. Only works with antennas though, tried to use it on cable and the channel search didn't work. But since it wasn't made for that anyway, its a good converter box in all. and it DOES get very hot after long use. Sort of annoying but it doesn't affect anything.",recieves channel area perfectly keep even low signal small convenient work antenna though tried use cable channel search work since made anyway good converter box get hot long use sort annoying affect anything,"11 22, 2008",A3F2M27L02YDLM,Alex Evans,,Good box for the price,1227312000,False,14,1
2302,76,85436,85436,B0012YHQVE,,1.0,"I purchased the Sangean DT-400W Sept 27, 2009 and received it about a week or so later. At the time I pretty well liked it and rated it pretty high, except for now, it stopped working in late August 2010. No sound or noise on the speaker or ear buds. It does continue to be a pretty good clock though and I can navigate the stations silently. That would be OK, however, I purchased it to hear my favorite radio stations and to get the weather reports/alerts. If you are looking for durability, you might want to skip this one, unless you just like radios that go out of warranty and fail, and you like paying out $57 a year for new ones?? Oh, by the way, I was not rough with it, as I wanted it to last for a few years. Darn, was I fooled!",purchased sangean dt w sept received week later time pretty well liked rated pretty high except stopped working late august sound noise speaker ear bud continue pretty good clock though navigate station silently would ok however purchased hear favorite radio station get weather report alert looking durability might want skip one unless like radio go warranty fail like paying year new one oh way rough wanted last year darn fooled,"09 22, 2010",A1H2XWTVUIMYFO,Farmer Jon,{'Size:': ' One Size'},DT-400W FM/AM Durability 'Not So Much'!,1285113600,True,31,0
1013,10158,538933,538933,B00R07WNRY,,1.0,What a waste of time and money. The CF slot doesn't work at all and I tried all 3 usb ports on my computer. Sending it right back.,waste time money cf slot work tried usb port computer sending right back,"09 29, 2017",A2NAIE64WOLZC6,tvlgds,{'Size:': ' All-in-1 Card Reader'},CF slot doesn't work,1506643200,True,,0
3009,3755,431335,431335,B00GUBJJ96,,4.0,Some difficult in sync receiver with transmitter and control unit but got it and works fine.,difficult sync receiver transmitter control unit got work fine,"10 10, 2015",AQ3S9BHKB7RB9,Eric,,alarm,1444435200,True,,1
2532,1019,306706,306706,B008GVOVK0,,4.0,"First, this Will NOT work with a PS4. The led lights will start blinking and none of the 3 HDMI inputs will work if the ps4 is connected to any of the HDMI porta.  Now, this definitely WILL work with a PC and Chromecast and fire stick connections.

The ps4 will work for like 30 seconds and then signal will go out. Not sure if xbox does the same. Probably does though.",first work p led light start blinking none hdmi input work p connected hdmi porta definitely work pc chromecast fire stick connection p work like second signal go sure xbox probably though,"12 29, 2015",AR0Y7KA986Y4P,JDR,{'Color:': ' Full HD 1080P'},"Works, but don't count on a PS4.",1451347200,True,,1
2095,1781,354939,354939,B00BGO0Q9O,,5.0,Great product and fast delivery!  My son loves it!!!,great product fast delivery son love,"05 28, 2016",ABX6PL7I9MFYI,TRS175,"{'Size:': ' Two wristbands included, Large and Small', 'Color:': ' Tangerine'}",Five Stars,1464393600,True,,1
1259,8841,49052,49052,B000FMPENQ,"['https://images-na.ssl-images-amazon.com/images/I/716kf7Pd70L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61qtrnM-+bL._SY88.jpg']",5.0,"Sounds much better than stock speaker but that's not saying much because my stock speaker was 17 years old and maxed out at 8 watts. I have an aftermarket head unit and was hoping this speaker would sound better. I think the potential is there I am just not pushing enough watts to it. I ordered just one of these to see how I liked it before I ordered the second one. I just ordered the second one today. I am also investing in an amp that will push 125 watts @ 4 ohms RMS to each woofer. I will update review after I get that hooked up. As far as looks go this woofer looks great. Overall, considering that they were only $26 for a pair you really can't go wrong. I posted a pic of old speaker and new so you can see how deep these are.

Update. After breaking these speakers in they sound soon much better. I still have them hooked up to head unit. I can't wait to hear what they sound like with 50-75 rms going into them. Very happy",sound much better stock speaker saying much stock speaker year old maxed watt aftermarket head unit hoping speaker would sound better think potential pushing enough watt ordered one see liked ordered second one ordered second one today also investing amp push watt ohm rms woofer update review get hooked far look go woofer look great overall considering pair really go wrong posted pic old speaker new see deep update breaking speaker sound soon much better still hooked head unit wait hear sound like rms going happy,"04 25, 2015",AHBVDAYQ4HPOY,Steven Wason,{'Size:': ' 6.5-inch'},Definetly worth $13 a piece,1429920000,True,19,1
764,3007,234909,234909,B00579E6RW,,5.0,"Works fine, no problems.",work fine problem,"07 1, 2015",A2S7QGG2ZZWA5P,Larry,,Five Stars,1435708800,True,,1
